ETM_ID,ETM_CARRIER,CATEGORIZATION_A,CATEGORIZATION_B,CATEGORIZATION_C
industry_other_food_flexibility_p2h_network_gas_electricity.output (MW),electricity,,,
industry_other_food_heater_electricity.input (MW),electricity,,,
industry_other_metals_process_electricity.input (MW),electricity,,,
industry_other_paper_captured_co2_electricity.input (MW),electricity,,,
industry_other_paper_flexibility_p2h_hydrogen_electricity.input (MW),electricity,,,
industry_other_paper_flexibility_p2h_hydrogen_electricity.output (MW),electricity,,,
industry_other_paper_flexibility_p2h_network_gas_electricity.input (MW),electricity,,,
industry_other_paper_flexibility_p2h_network_gas_electricity.output (MW),electricity,,,
industry_other_paper_heater_electricity.input (MW),electricity,,,
industry_steel_blastfurnace_bat_consumption_useable_heat.input (MW),electricity,,,
industry_steel_blastfurnace_captured_co2_electricity.input (MW),electricity,,,
industry_steel_blastfurnace_current_consumption_useable_heat.input (MW),electricity,,,
industry_steel_electricfurnace_captured_co2_electricity.input (MW),electricity,,,
industry_steel_electricfurnace_electricity.input (MW),electricity,,,
industry_steel_hisarna_captured_co2_electricity.input (MW),electricity,,,
industry_steel_hisarna_consumption_useable_heat.input (MW),electricity,,,
industry_useful_demand_for_chemical_fertilizers_electricity.input (MW),electricity,,,
industry_useful_demand_for_chemical_other_electricity.input (MW),electricity,,,
industry_useful_demand_for_chemical_refineries_electricity.input (MW),electricity,,,
industry_useful_demand_for_other_food_electricity.input (MW),electricity,,,
industry_useful_demand_for_other_paper_electricity.input (MW),electricity,,,
deficit,electricity,,,
other_final_demand_electricity.input (MW),electricity,,,
transport_bicycle_using_electricity.input (MW),electricity,,,
transport_bus_using_electricity.input (MW),electricity,,,
transport_car_flexibility_p2p_electricity.input (MW),electricity,,,
transport_car_flexibility_p2p_electricity.output (MW),electricity,,,
transport_car_using_electricity.input (MW),electricity,,,
transport_freight_train_using_electricity.input (MW),electricity,,,
transport_motorcycle_using_electricity.input (MW),electricity,,,
transport_passenger_train_using_electricity.input (MW),electricity,,,
transport_tram_using_electricity.input (MW),electricity,,,
transport_truck_using_electricity.input (MW),electricity,,,
energy_chp_combined_cycle_network_gas.output (MW),heat_network,,,
energy_chp_local_engine_biogas.output (MW),heat_network,,,
energy_chp_local_engine_network_gas.output (MW),heat_network,,,
energy_chp_local_wood_pellets.output (MW),heat_network,,,
energy_chp_supercritical_waste_mix.output (MW),heat_network,,,
energy_chp_ultra_supercritical_coal.output (MW),heat_network,,,
energy_chp_ultra_supercritical_cofiring_coal.output (MW),heat_network,,,
energy_chp_ultra_supercritical_lignite.output (MW),heat_network,,,
energy_heat_flexibility_p2h_boiler_electricity.output (MW),heat_network,,,
energy_heat_flexibility_p2h_heatpump_electricity.output (MW),heat_network,,,
agriculture_final_demand_hydrogen.input (MW),hydrogen,,,
energy_export_hydrogen.input (MW),hydrogen,,,
energy_heat_burner_hydrogen.input (MW),hydrogen,,,
energy_hydrogen_biomass_gasification.output (MW),hydrogen,,,
energy_hydrogen_biomass_gasification_ccs.output (MW),hydrogen,,,
energy_hydrogen_electrolysis_solar_electricity.output (MW),hydrogen,,,
energy_hydrogen_electrolysis_wind_electricity.output (MW),hydrogen,,,
energy_hydrogen_flexibility_p2g_electricity.output (MW),hydrogen,,,
